ym,local,bill,rsn,cnt,amt
﻿201811,47,3,1,9,9000
﻿201811,47,4,4,6,6000
﻿201811,47,6,1,1,18000
﻿201811,47,7,1,7,107000
﻿201811,47,7,2,33,1120000
﻿201811,47,7,6,4,58000
﻿201811,48,2,1,1,30000
﻿201811,48,3,1,3,3000
﻿201811,48,7,2,2,14000
﻿201811,4A,3,6,1,5000
﻿201811,4A,7,1,7,115000
﻿201811,4A,7,2,5,178000
﻿201811,4A,7,4,2,200000
﻿201811,4B,7,2,9,74000
﻿201811,4C,3,4,2,10000
﻿201811,4C,7,2,61,1560000
﻿201811,4D,1,2,2,70000
﻿201811,4D,2,2,5,125000
﻿201811,4D,2,6,2,45000
﻿201811,4D,7,2,18,558000
﻿201811,4F,3,1,1,3000
﻿201811,4F,3,6,3,9000
﻿201811,4F,6,2,1,11000
﻿201811,4F,7,6,38,342000
﻿201811,4G,3,6,2,10000
﻿201811,4G,4,4,10,1000
﻿201811,4G,6,1,1,2000
﻿201811,4G,7,1,5,56000
﻿201811,4J,6,6,1,10000
﻿201811,4K,4,4,6,4000
﻿201811,4M,3,4,1,3000
﻿201811,4N,1,1,2,55000
﻿201811,4N,1,6,1,3000
﻿201811,4P,7,1,2,60000
﻿201811,4R,3,6,1,5000
﻿201811,4S,1,2,2,27000
﻿201811,4S,2,2,1,25000
﻿201811,4S,4,4,1,10000
﻿201811,4S,7,1,1,218000
﻿201811,4S,7,2,31,2990000
﻿201811,4Y,4,6,1,1000
﻿201811,51,7,2,30,2430000
﻿201811,52,7,1,6,52000
﻿201811,54,6,1,1,5000
﻿201811,54,7,1,24,1360000
﻿201811,54,7,2,123,8420000
﻿201811,56,1,1,1,80000
﻿201811,56,4,4,18,18000
﻿201811,56,7,1,29,962000
﻿201811,56,7,2,103,2180000
﻿201811,56,7,4,1,175000
﻿201811,57,2,2,1,8000
﻿201811,57,4,4,1,1000
﻿201811,57,6,2,1,11000
﻿201811,57,7,1,26,784000
﻿201811,57,7,2,14,830000
﻿201811,58,1,1,6,63000
﻿201811,58,7,2,8,438000
﻿201811,59,7,4,1,20000
﻿201811,5R,7,2,3,176000
﻿201811,62,1,1,1,49000
﻿201811,62,1,2,1,29000
﻿201811,62,4,4,52,53000
﻿201811,62,6,2,1,58000
﻿201811,62,6,6,2,699000
﻿201811,62,7,1,3,37000
﻿201811,62,7,2,5,196000
﻿201811,62,7,4,1,100000
﻿201811,63,1,3,1,10000
﻿201811,63,3,4,2,10000
﻿201811,63,6,1,1,194000
﻿201811,63,6,2,2,2720000
﻿201811,63,7,2,6,270000
﻿201811,65,1,2,2,25000
